Chronon Stage,System Depth,dt,Time | Depth Differential,Sommerfeld's Constant,McElveen's EQ,"Information Creation/ ""Distance to Event Horizon"" Rceh [Glyr]",Entropic Error Rate,pi(n),2(pi)*(EQ),,(C*pi)*(B/C),,,,,,2pi(n)+((Cpi*C/2)+2pi),,CAM Equation,x/lnx,difference u-v,t/u,li(x),g^-1,,
11,12,6,0.5,0.08333333333,2,3.17805383,0.3146579804,37.69911184,12.56637061,3.544907702,37.69911184,2.48490665,2.602188159,37.69911184,12.56637061,,138.2300768,,1.811654839,4.829155253,3.017500413,0.3751494297,2.414577626,0.3146579804,2,0.006944444444
12,13,2,0.1538461538,0.07692307692,6.5,4.436751534,0.2253901288,40.8407045,40.8407045,6.390673243,40.8407045,2.564949357,8.058026058,40.8407045,40.8407045,,94.24777961,,5.133924066,5.068326188,-0.06559787821,1.01294271,0.7797424905,0.2253901288,6.5,0.00000005746034246
13,14,4,0.2857142857,0.07142857143,3.5,3.891820298,0.2569491712,43.98229715,21.99114858,4.6894721,43.98229715,2.63905733,4.14542156,43.98229715,21.99114858,,119.3805208,,2.776956759,5.304924544,2.527967784,0.5234677207,1.515692727,0.2569491712,3.5,0.00009739841178
14,15,4,0.2666666667,0.06666666667,3.75,4.029806041,0.248150901,47.1238898,23.5619449,4.854064781,47.1238898,2.708050201,4.253795309,47.1238898,23.5619449,,125.6637061,,2.888844805,5.539040596,2.650195791,0.5215424504,1.477077492,0.248150901,3.75,0.00003887387005
15,16,5,0.3125,0.0625,3.2,3.935739532,0.2540818547,50.26548246,20.10619298,4.483992973,50.26548246,2.772588722,3.484137744,50.26548246,20.10619298,,146.0840584,,2.450942653,5.770780164,3.31983751,0.4247159974,1.803368801,0.2540818547,3.2,0.0001402219672
16,17,2,0.1176470588,0.05882352941,8.5,4.973279508,0.2010745623,53.40707511,53.40707511,7.308014444,53.40707511,2.833213344,8.900802228,53.40707511,53.40707511,,119.3805208,,6.055704712,6.000254106,-0.0554506066,1.009241376,0.7059122477,0.2010745623,8.5,0
17,18,6,0.3333333333,0.05555555556,3,3.988984047,0.2506903984,56.54866776,18.84955592,4.341607527,56.54866776,2.890371758,3.026790227,56.54866776,18.84955592,,175.9291886,,2.234003159,6.227572613,3.993569454,0.3587277576,2.075857538,0.2506903984,3,0.0001714677641
18,19,2,0.1052631579,0.05263157895,9.5,5.195730778,0.1924657075,59.69026042,59.69026042,7.725947218,59.69026042,2.944438979,9.250227866,59.69026042,59.69026042,,131.9468915,,6.504416473,6.452842166,-0.05157430741,1.007992495,0.6792465438,0.1924657075,9.5,0
19,20,6,0.3,0.05,3.333333333,4.199705078,0.2381119582,62.83185307,20.94395102,4.576456164,62.83185307,2.995732274,3.137123501,62.83185307,20.94395102,,188.4955592,,2.373196257,6.676164014,4.302967757,0.355473031,2.002849204,0.2381119582,3.333333333,0.00004605039373
20,21,4,0.1904761905,0.04761904762,5.25,4.702750514,0.2126415163,65.97344573,32.98672286,5.743406904,65.97344573,3.044522438,4.782324662,65.97344573,32.98672286,,163.362818,,3.544930841,6.897633514,3.352702672,0.5139343565,1.313834955,0.2126415163,5.25,0.000000114379634
21,22,4,0.1818181818,0.04545454545,5.5,4.795790546,0.2085161957,69.11503838,34.55751919,5.878564382,69.11503838,3.091042453,4.855398132,69.11503838,34.55751919,,169.6460033,,3.651848529,7.117339969,3.46549144,0.5130917653,1.294061813,0.2085161957,5.5,0.00000004136902215
22,23,2,0.08695652174,0.04347826087,11.5,5.577841251,0.1792808284,72.25663103,72.25663103,8.500390052,72.25663103,3.135494216,9.850445594,72.25663103,72.25663103,,157.0796327,,7.380752488,7.335366745,-0.04538574286,1.006187249,0.6378579778,0.1792808284,11.5,0
23,24,8,0.3333333333,0.04166666667,3,4.276666119,0.233826998,75.39822369,18.84955592,4.341607527,75.39822369,3.17805383,2.496037642,75.39822369,18.84955592,,257.6105976,,2.061289951,7.551791531,5.49050158,0.2729537676,2.517263844,0.233826998,3,0.00007233796296
24,25,3,0.12,0.04,8.333333333,5.339139361,0.1872961038,78.53981634,52.35987756,7.236012546,78.53981634,3.218875825,6.741597763,78.53981634,52.35987756,,177.4999849,,5.242009118,7.766686682,2.524677564,0.674935057,0.9320024018,0.1872961038,8.333333333,0
25,26,4,0.1538461538,0.03846153846,6.5,5.129898715,0.1949356226,81.68140899,40.8407045,6.390673243,81.68140899,3.258096538,5.117806074,81.68140899,40.8407045,,194.7787445,,4.073252986,7.980119587,3.906866601,0.5104250559,1.227710706,0.1949356226,6.5,0.0000000006348530906
26,27,4,0.1481481481,0.03703703704,6.75,5.205379371,0.1921089567,84.82300165,42.41150082,6.512411291,84.82300165,3.295836866,5.177088443,84.82300165,42.41150082,,201.0619298,,4.177133675,8.19215304,4.015019365,0.5098944874,1.213652302,0.1921089567,6.75,0.0000000002179187464
27,28,6,0.2142857143,0.03571428571,4.666666667,4.872649551,0.205227154,87.9645943,29.32153143,5.414935958,87.9645943,3.33220451,3.489476403,87.9645943,29.32153143,,238.7610417,,2.918956677,8.402845598,5.483888921,0.3473771644,1.800609771,0.205227154,4.666666667,0.0000001764395144
28,29,2,0.06896551724,0.03448275862,14.5,6.041444479,0.1655233286,91.10618695,91.10618695,9.5449561,91.10618695,3.36729583,10.57867184,91.10618695,91.10618695,,194.7787445,,8.650921733,8.612251927,-0.03866980575,1.004490092,0.5939484087,0.1655233286,14.5,0
29,30,8,0.2666666667,0.03333333333,3.75,4.722953222,0.2117319298,94.24777961,23.5619449,4.854064781,94.24777961,3.401197382,2.671294177,94.24777961,23.5619449,,295.3097094,,2.354237359,8.820423114,6.466185754,0.2669075314,2.35211283,0.2117319298,3.75,0.000002889317678
30,31,2,0.06451612903,0.03225806452,15.5,6.174827228,0.161947851,97.38937226,97.38937226,9.868605386,97.38937226,3.433987204,10.78818897,97.38937226,97.38937226,,207.3451151,,9.064301385,9.027406963,-0.03689442249,1.004086935,0.5824133524,0.161947851,15.5,0
31,32,6,0.1875,0.03125,5.333333333,5.139712336,0.1945634181,100.5309649,33.51032164,5.788810036,100.5309649,3.465735903,3.629310151,100.5309649,33.51032164,,263.8937829,,3.185299018,9.233248262,6.047949244,0.3449814115,1.731234049,0.1945634181,5.333333333,0.000000009387143328
32,33,4,0.1212121212,0.0303030303,8.25,5.606720762,0.1783573755,103.6725576,51.83627878,7.199741578,103.6725576,3.496507561,5.492301234,103.6725576,51.83627878,,238.7610417,,4.789420465,9.437989028,4.648568562,0.5074619658,1.14399867,0.1783573755,8.25,0
33,34,4,0.1176470588,0.02941176471,8.5,5.666426688,0.1764780619,106.8141502,53.40707511,7.308014444,106.8141502,3.526360525,5.539194159,106.8141502,53.40707511,,245.044227,,4.889781153,9.64166873,4.751887576,0.5071509186,1.134313968,0.1764780619,8.5,0
34,35,4,0.1142857143,0.02857142857,8.75,5.724401762,0.1746907435,109.9557429,54.97787144,7.41470643,109.9557429,3.555348061,5.584727675,109.9557429,54.97787144,,251.3274123,,4.989697545,9.844324492,4.854626947,0.5068603284,1.125065656,0.1746907435,8.75,0
35,36,9,0.25,0.02777777778,4,4.9698133,0.2012148022,113.0973355,25.13274123,5.013256549,113.0973355,3.583518938,2.501768171,113.0973355,25.13274123,,359.7123588,,2.379795897,10.04599128,7.666195381,0.2368901019,2.511497819,0.2012148022,4,0.0000005953741808
36,37,2,0.05405405405,0.02702702703,18.5,6.528688645,0.1531701165,116.2389282,116.2389282,10.78141587,116.2389282,3.610917913,11.34403319,116.2389282,116.2389282,,245.044227,,10.27921221,10.24670206,-0.03251015525,1.003172743,0.5538757868,0.1531701165,18.5,0
37,38,4,0.1052631579,0.02631578947,9.5,5.888877958,0.1698116359,119.3805208,59.69026042,7.725947218,119.3805208,,,119.3805208,59.69026042,,270.1769682,,5.286905877,10.44648795,5.159582077,0.506094096,1.099630311,0.1698116359,9.5,0
38,39,4,0.1025641026,0.02564102564,9.75,5.940828931,0.1683266782,122.5221135,61.26105675,7.826944279,122.5221135,,,122.5221135,61.26105675,,276.4601535,,5.385167312,10.6453784,5.260211084,0.5058690365,1.091833682,0.1683266782,9.75,0
39,40,8,0.2,0.025,5,5.298317367,0.1887391658,125.6637061,31.41592654,5.604991216,125.6637061,,,125.6637061,31.41592654,,358.1415625,,2.832711715,10.84340123,8.010689513,0.2612383011,2.168680245,0.1887391658,5,0.000000009765625
40,41,2,0.0487804878,0.0243902439,20.5,6.733996953,0.1485002157,128.8052988,128.8052988,11.34924221,128.8052988,,,128.8052988,128.8052988,,270.1769682,,11.07075797,11.04058283,-0.03017514326,1.002733111,0.5385650161,0.1485002157,20.5,0
41,42,8,0.1904761905,0.02380952381,5.25,5.395897695,0.1853259748,131.9468915,32.98672286,5.743406904,131.9468915,,,131.9468915,32.98672286,,370.7079331,,2.926902824,11.23694823,8.310045406,0.2604713276,2.140371091,0.1853259748,5.25,0.000000003005669507
42,43,2,0.04651162791,0.02325581395,21.5,6.829253051,0.1464288982,135.0884841,135.0884841,11.62275716,135.0884841,,,135.0884841,135.0884841,,282.7433388,,11.46166291,11.43252118,-0.02914172914,1.00254902,0.5317451713,0.1464288982,21.5,0
43,44,6,0.1363636364,0.02272727273,7.333333333,5.776619799,0.173111618,138.2300768,46.07669225,6.787981456,138.2300768,,,138.2300768,46.07669225,,339.2920066,,3.961399782,11.62732428,7.665924495,0.3406974543,1.58554422,0.173111618,7.333333333,0
44,45,6,0.1333333333,0.02222222222,7.5,5.82156551,0.1717751004,141.3716694,47.1238898,6.864684246,141.3716694,,,141.3716694,47.1238898,,345.5751919,,4.024691178,11.821379,7.796687818,0.3404586875,1.576183866,0.1717751004,7.5,0
45,46,4,0.08695652174,0.02173913043,11.5,6.270988432,0.1594644945,144.5132621,72.25663103,8.500390052,144.5132621,,,144.5132621,72.25663103,,320.4424507,,6.062738224,12.0147058,5.951967578,0.5046097943,1.044757026,0.1594644945,11.5,0
46,47,2,0.04255319149,0.02127659574,23.5,7.007148023,0.1427114137,147.6548547,147.6548547,12.1513314,147.6548547,,,147.6548547,147.6548547,,307.8760801,,12.23461801,12.2073242,-0.02729380325,1.002235855,0.5194606043,0.1427114137,23.5,0
47,48,10,0.2083333333,0.02083333333,4.8,5.439816929,0.1838297158,150.7964474,30.15928947,5.491747397,150.7964474,,,150.7964474,30.15928947,,464.9557127,,2.612832296,12.39925281,9.78642051,0.2107249797,2.583177668,0.1838297158,4.8,0.000000008512204733
48,49,3,0.0612244898,0.02040816327,16.33333333,6.685028308,0.1495879978,153.93804,102.62536,10.13041756,153.93804,,,153.93804,102.62536,,328.2964323,,8.43334785,12.59050939,4.157161538,0.6698178438,0.7708475136,0.1495879978,16.33333333,0
49,50,6,0.12,0.02,8.333333333,6.032286542,0.1657746185,157.0796327,52.35987756,7.236012546,157.0796327,,,157.0796327,52.35987756,,376.9911184,,4.338324898,12.78111093,8.442786034,0.3394325361,1.533733312,0.1657746185,8.333333333,0
50,51,4,0.07843137255,0.01960784314,12.75,6.477356904,0.1543839586,160.2212253,80.11061267,8.95045321,160.2212253,,,160.2212253,80.11061267,,351.8583772,,6.536851979,12.97107369,6.434221706,0.503956121,1.017339113,0.1543839586,12.75,0
51,52,6,0.1153846154,0.01923076923,8.666666667,6.110727968,0.1636466237,163.362818,54.45427266,7.379313834,163.362818,,,163.362818,54.45427266,,389.557489,,4.462527919,13.1604132,8.697885284,0.3390872194,1.518509216,0.1636466237,8.666666667,0
52,53,2,0.03773584906,0.01886792453,26.5,7.247436647,0.1379798195,166.5044106,166.5044106,12.90365881,166.5044106,,,166.5044106,166.5044106,,345.5751919,,13.37410544,13.34914438,-0.02496105266,1.001869862,0.5037412975,0.1379798195,26.5,0
53,54,8,0.1481481481,0.01851851852,6.75,5.898526551,0.1695338643,169.6460033,42.41150082,6.512411291,169.6460033,,,169.6460033,42.41150082,,446.1061568,,3.48224525,13.53728152,10.05503627,0.2572337175,2.005523188,0.1695338643,6.75,0
54,55,4,0.07272727273,0.01818181818,13.75,6.628372009,0.1508666078,172.7875959,86.39379797,9.294826409,172.7875959,,,172.7875959,86.39379797,,376.9911184,,6.910924264,13.7248383,6.813914041,0.5035341117,0.9981700585,0.1508666078,13.75,0
55,56,8,0.1428571429,0.01785714286,7,5.97126184,0.1674687908,175.9291886,43.98229715,6.631915044,175.9291886,,,175.9291886,43.98229715,,458.6725274,,3.573274589,13.91182791,10.33855332,0.256851552,1.987403987,0.1674687908,7,0
56,57,4,0.0701754386,0.01754385965,14.25,6.699808175,0.1492580047,179.0707813,89.53539063,9.462314232,179.0707813,,,179.0707813,89.53539063,,389.557489,,7.096355316,14.09826298,7.00190766,0.5033496203,0.9893517878,0.1492580047,14.25,0
57,58,4,0.06896551724,0.01724137931,14.5,6.73459166,0.1484871022,182.2123739,91.10618695,9.5449561,182.2123739,,,182.2123739,91.10618695,,395.8406744,,7.188688703,14.28415566,7.095466954,0.5032631172,0.9851141833,0.1484871022,14.5,0
58,59,2,0.03389830508,0.01694915254,29.5,7.461927707,0.1340136275,185.3539666,185.3539666,13.61447636,185.3539666,,,185.3539666,185.3539666,,383.2743037,,14.49254725,14.46951765,-0.02302960262,1.001591594,0.4904921236,0.1340136275,29.5,0
59,60,12,0.2,0.01666666667,5,5.703782475,0.175322254,188.4955592,31.41592654,5.604991216,188.4955592,,,188.4955592,31.41592654,,609.4689748,,2.57737022,14.6543602,12.07698998,0.1758773624,2.93087204,0.175322254,5,0.00000000128600823
60,61,2,0.03278688525,0.01639344262,30.5,7.528600548,0.1328268107,191.6371519,191.6371519,13.84330711,191.6371519,,,191.6371519,191.6371519,,395.8406744,,14.86115115,14.83869416,-0.02245699311,1.001513408,0.4865145626,0.1328268107,30.5,0
61,62,4,0.06451612903,0.01612903226,15.5,6.867974409,0.1456033381,194.7787445,97.38937226,9.868605386,194.7787445,,,194.7787445,97.38937226,,420.9734156,,7.555590425,15.02252997,7.466939547,0.5029505975,0.9691954821,0.1456033381,15.5,0
62,63,6,0.09523809524,0.01587301587,10.5,6.494509984,0.1539762049,197.9203372,65.97344573,8.122403938,197.9203372,,,197.9203372,65.97344573,,458.6725274,,5.134219924,15.20587771,10.07165779,0.3376470613,1.44817883,0.1539762049,10.5,0
63,64,7,0.109375,0.015625,9.142857143,6.371856018,0.1569401438,201.0619298,57.44626567,7.579331479,201.0619298,,,201.0619298,57.44626567,,485.376065,,4.472337695,15.3887471,10.91640941,0.2906238997,1.683144214,0.1569401438,9.142857143,0
64,65,4,0.06153846154,0.01538461538,16.25,6.962480179,0.1436269798,204.2035225,102.1017612,10.10454161,204.2035225,,,204.2035225,102.1017612,,439.8229715,,7.828340975,15.57114752,7.742806548,0.5027465679,0.958224463,0.1436269798,16.25,0
65,66,8,0.1212121212,0.01515151515,8.25,6.299867942,0.158733486,207.3451151,51.83627878,7.199741578,207.3451151,,,207.3451151,51.83627878,,521.5043805,,4.022549912,15.75308804,11.73053813,0.255349929,1.909465217,0.158733486,8.25,0
66,67,2,0.02985074627,0.01492537313,33.5,7.716238058,0.1295968311,210.4867078,210.4867078,14.50816004,210.4867078,,,210.4867078,210.4867078,,433.5397862,,15.95549078,15.9345774,-0.02091337837,1.001312453,0.475659027,0.1295968311,33.5,0
67,68,6,0.08823529412,0.01470588235,11.33333333,6.647255941,0.1504380167,213.6283004,71.20943348,8.438568213,213.6283004,,,213.6283004,71.20943348,,490.088454,,5.433783396,16.11562408,10.68184069,0.3371748663,1.421966831,0.1504380167,11.33333333,0
68,69,4,0.05797101449,0.01449275362,17.25,7.081918648,0.141204672,216.7698931,108.3849465,10.41080912,216.7698931,,,216.7698931,108.3849465,,464.9557127,,8.188986358,16.29623627,8.107249914,0.5025078319,0.9447093491,0.141204672,17.25,0
69,70,8,0.1142857143,0.01428571429,8.75,6.417548942,0.1558227306,219.9114858,54.97787144,7.41470643,219.9114858,,,219.9114858,54.97787144,,546.6371217,,4.199713001,16.47642189,12.27670889,0.2548922957,1.883019644,0.1558227306,8.75,0
70,71,2,0.02816901408,0.01408450704,35.5,7.832212574,0.1276778421,223.0530784,223.0530784,14.93496161,223.0530784,,,223.0530784,223.0530784,,458.6725274,,16.67619638,16.65618861,-0.02000777417,1.001201222,0.4691884114,0.1276778421,35.5,0
71,72,12,0.1666666667,0.01388888889,6,6.068425588,0.1647873877,226.1946711,37.69911184,6.139960248,226.1946711,,,226.1946711,37.69911184,,684.8671985,,2.923726361,16.83554386,13.91181749,0.1736639093,2.805923976,0.1647873877,6,0
72,73,2,0.02739726027,0.01369863014,36.5,7.887771702,0.1267785172,229.3362637,229.3362637,15.14385234,229.3362637,,,229.3362637,229.3362637,,471.238898,,17.03408146,17.01449483,-0.01958662889,1.001151173,0.4661505434,0.1267785172,36.5,0
73,74,4,0.05405405405,0.01351351351,18.5,7.221835825,0.1384689467,232.4778564,116.2389282,10.78141587,232.4778564,,,232.4778564,116.2389282,,496.3716393,,8.635264689,17.19304852,8.557783836,0.502253261,0.9293539743,0.1384689467,18.5,0
74,75,6,0.08,0.01333333333,12.5,6.843216758,0.1461301074,235.619449,78.53981634,8.862269255,235.619449,,,235.619449,78.53981634,,534.0707511,,5.847856268,17.37121169,11.52335542,0.3366406657,1.389696935,0.1461301074,12.5,0
75,76,6,0.07894736842,0.01315789474,12.66666667,6.869707211,0.1455666114,238.7610417,79.58701389,8.921155412,238.7610417,,,238.7610417,79.58701389,,540.3539364,,5.906536258,17.5489909,11.64245465,0.336574125,1.38544665,0.1455666114,12.66666667,0
76,77,4,0.05194805195,0.01298701299,19.25,7.301316483,0.1369616017,241.9026343,120.9513172,10.99778692,241.9026343,,,241.9026343,120.9513172,,515.2211952,,8.900773094,17.72639253,8.82561944,0.5021198237,0.9208515602,0.1369616017,19.25,0
77,78,8,0.1025641026,0.01282051282,9.75,6.633976112,0.150739162,245.044227,61.26105675,7.826944279,245.044227,,,245.044227,61.26105675,,596.9026042,,4.550082686,17.90342277,13.35334008,0.2541459667,1.836248489,0.150739162,9.75,0
78,79,2,0.0253164557,0.01265822785,39.5,8.045748524,0.1242892438,248.1858196,248.1858196,15.75391442,248.1858196,,,248.1858196,248.1858196,,508.9380099,,18.09852034,18.08008761,-0.01843272994,1.001019504,0.4577237371,0.1242892438,39.5,0
79,80,10,0.125,0.0125,8,6.461468176,0.1547635882,251.3274123,50.26548246,7.089815404,251.3274123,,,251.3274123,50.26548246,,666.0176426,,3.742117529,18.25639291,14.51427538,0.2049757335,2.282049114,0.1547635882,8,0
80,81,5,0.06172839506,0.01234567901,16.2,7.179460397,0.1392862339,254.4690049,101.787602,10.08898419,254.4690049,,,254.4690049,101.787602,,554.4911034,,7.418092769,18.43234434,11.01425157,0.4024497716,1.137799033,0.1392862339,16.2,0
81,82,4,0.0487804878,0.01219512195,20.5,7.427144133,0.134641254,257.6105976,128.8052988,11.34924221,257.6105976,,,257.6105976,128.8052988,,546.6371217,,9.339773129,18.60794741,9.26817428,0.5019238782,0.9077047517,0.134641254,20.5,0
82,83,2,0.02409638554,0.01204819277,41.5,8.144534035,0.1227817326,260.7521902,260.7521902,16.14782308,260.7521902,,,260.7521902,260.7521902,,534.0707511,,18.80095049,18.78320749,-0.01774299538,1.00094462,0.4526074094,0.1227817326,41.5,0
83,84,12,0.1428571429,0.0119047619,7,6.376726948,0.1568202635,263.8937829,43.98229715,6.631915044,263.8937829,,,263.8937829,43.98229715,,760.2654222,,3.264486134,18.9581298,15.69364367,0.1721945239,2.708304257,0.1568202635,7,0
84,85,4,0.04705882353,0.01176470588,21.25,7.499008152,0.1333509685,267.0353756,133.5176878,11.55498541,267.0353756,,,267.0353756,133.5176878,,565.4866776,,9.60117868,19.13271943,9.531540747,0.501819865,0.9003632671,0.1333509685,21.25,0
85,86,4,0.04651162791,0.01162790698,21.5,7.522400231,0.1329362928,270.1769682,135.0884841,11.62275716,270.1769682,,,270.1769682,135.0884841,,571.769863,,9.687995802,19.30698131,9.618985508,0.501787185,0.8979991307,0.1329362928,21.5,0
86,87,4,0.04597701149,0.01149425287,21.75,7.545521876,0.1325289379,273.3185609,136.6592804,11.69013603,273.3185609,,,273.3185609,136.6592804,,578.0530483,,9.774657632,19.48092027,9.70626264,0.5017554353,0.8956744952,0.1325289379,21.75,0
87,88,8,0.09090909091,0.01136363636,11,6.875232087,0.1454496353,276.4601535,69.11503838,8.313545476,276.4601535,,,276.4601535,69.11503838,,659.7344573,,4.981287105,19.654541,14.6732539,0.253442047,1.786776455,0.1454496353,11,0
88,89,2,0.02247191011,0.01123595506,44.5,8.284125559,0.120712801,279.6017462,279.6017462,16.72129619,279.6017462,,,279.6017462,279.6017462,,571.769863,,19.8446566,19.82784807,-0.0168085221,1.000847723,0.4455696196,0.120712801,44.5,0
89,90,12,0.1333333333,0.01111111111,7.5,6.514712691,0.1534987109,282.7433388,47.1238898,6.864684246,282.7433388,,,282.7433388,47.1238898,,797.964534,,3.432875267,20.00084595,16.56797068,0.1716365036,2.666779459,0.1534987109,7.5,0
90,91,4,0.04395604396,0.01098901099,22.75,7.635424652,0.1309684851,285.8849315,142.9424657,11.95585487,285.8849315,,,285.8849315,142.9424657,,603.1857895,,10.11979444,20.17353896,10.05374452,0.5016370433,0.8867489653,0.1309684851,22.75,0
91,92,6,0.0652173913,0.01086956522,15.33333333,7.251817685,0.1378964618,289.0265241,96.34217471,9.815404969,289.0265241,,,289.0265241,96.34217471,,640.8849013,,6.831055903,20.34593136,13.51487545,0.3357455495,1.326908567,0.1378964618,15.33333333,0
92,93,4,0.04301075269,0.01075268817,23.25,7.678904625,0.1302269072,292.1681168,146.0840584,12.08652383,292.1681168,,,292.1681168,146.0840584,,615.7521601,,10.29148482,20.51802727,10.22654244,0.5015825688,0.8824957965,0.1302269072,23.25,0
93,94,4,0.04255319149,0.01063829787,23.5,7.700295203,0.1298651511,295.3097094,147.6548547,12.1513314,295.3097094,,,295.3097094,147.6548547,,622.0353454,,10.37711726,20.68983073,10.31271347,0.5015564117,0.8804183289,0.1298651511,23.5,0
94,95,4,0.04210526316,0.01052631579,23.75,7.721459422,0.1295091958,298.4513021,149.225651,12.21579515,298.4513021,,,298.4513021,149.225651,,628.3185307,,10.4626103,20.86134568,10.39873537,0.5015309399,0.8783724495,0.1295091958,23.75,0
95,96,12,0.125,0.01041666667,8,6.643789733,0.1505165034,301.5928947,50.26548246,7.089815404,301.5928947,,,301.5928947,50.26548246,,835.6636459,,3.600007981,21.03257595,17.43256797,0.1711634366,2.629071994,0.1505165034,8,0
96,97,2,0.0206185567,0.01030927835,48.5,8.456274776,0.1182553815,304.7344874,304.7344874,17.45664594,304.7344874,,,304.7344874,304.7344874,,622.0353454,,21.21924363,21.20352531,-0.01571832566,1.000741307,0.4371860888,0.1182553815,48.5,0
97,98,6,0.0612244898,0.01020408163,16.33333333,7.378175488,0.1355348625,307.8760801,102.62536,10.13041756,307.8760801,,,307.8760801,102.62536,,678.5840132,,7.171456523,21.37419741,14.20274089,0.335519336,1.308624331,0.1355348625,16.33333333,0
98,99,6,0.06060606061,0.0101010101,16.5,7.398480231,0.1351628941,311.0176727,103.6725576,10.18197218,311.0176727,,,311.0176727,103.6725576,,684.8671985,,7.227887411,21.54459584,14.31670843,0.3354849385,1.305733081,0.1351628941,16.5,0
99,100,9,0.09,0.01,11.11111111,7.013115795,0.1425899742,314.1592654,69.81317008,8.355427582,314.1592654,,,314.1592654,69.81317008,,761.8362185,,4.894374831,21.7147241,16.82034926,0.2253942905,1.954325169,0.1425899742,11.11111111,0
100,101,2,0.0198019802,0.009900990099,50.5,8.537093853,0.1171358799,317.300858,317.300858,17.81294075,317.300858,,,317.300858,317.300858,,647.1680866,,21.8998149,21.8845856,-0.01522930109,1.000695892,0.4333581307,0.1171358799,50.5,0
101,102,8,0.07843137255,0.009803921569,12.75,7.170504085,0.1394602092,320.4424507,80.11061267,8.95045321,320.4424507,,,320.4424507,80.11061267,,747.6990516,,5.573870913,22.05418369,16.48031278,0.2527353082,1.729739898,0.1394602092,12.75,0
102,103,2,0.01941747573,0.009708737864,51.5,8.576310796,0.116600252,323.5840433,323.5840433,17.98844194,323.5840433,,,323.5840433,323.5840433,,659.7344573,,22.23851875,22.22352165,-0.01499709868,1.00067483,0.4315246922,0.116600252,51.5,0
103,104,8,0.07692307692,0.009615384615,13,7.209340257,0.1387089476,326.725636,81.68140899,9.037776773,326.725636,,,326.725636,81.68140899,,760.2654222,,5.657567857,22.39260266,16.7350348,0.2526534295,1.722507897,0.1387089476,13,0
104,105,8,0.07619047619,0.009523809524,13.125,7.228479159,0.1383416868,329.8672286,82.46680716,9.081123673,329.8672286,,,329.8672286,82.46680716,,766.5486075,,5.699331901,22.56142986,16.86209796,0.2526139494,1.718966084,0.1383416868,13.125,0
